genotypes	doi	status	trial	blumeria_graminis	heading_date	lodging	plant_height	puccinia_hordei	pyrenophora_teres	ramularia_collo_cygni	rhynchosporium
HOR 15917	10.25642/IPK/GBIS/231332	PGR	spring	4.355963781	65.91869265	5.253851879	81.07266711	3.986774417	1.765285154	5.399140213	1.329598578
HOR 15920	10.25642/IPK/GBIS/234746	PGR	spring	2.538144792	68.04330573	5.059527271	94.88799048	5.174359391	2.069654882	3.099776861	1.347981651
HOR 15922	10.25642/IPK/GBIS/246315	PGR	spring	4.815350645	70.20751618	5.135112082	95.3048723	4.530805269	1.425832185	2.4131964	1.343894857
HOR 15929	10.25642/IPK/GBIS/246332	PGR	spring	4.449596248	69.44380651	5.512279283	102.2000116	4.531428282	2.740544567	4.87738971	1.343836725
HOR 15983	10.25642/IPK/GBIS/245370	PGR	spring	4.179388227	66.75509277	2.521316042	80.28901523	4.852406174	1.396371276	6.434082362	1.370487668
HOR 16009	10.25642/IPK/GBIS/235598	PGR	spring	4.167315222	66.35955136	5.124428232	92.65211123	4.489280749	2.693550743	4.93447029	1.346689537
HOR 1601	10.25642/IPK/GBIS/17749	PGR	spring	5.372524213	70.38516689	3.749274042	100.6380351	4.633206945	2.054958225	3.365553261	1.345112701
HOR 16071	10.25642/IPK/GBIS/246669	PGR	spring	4.231502172	71.89335576	3.658866437	93.09491006	4.455678871	1.435076823	1.280916407	1.345548918
HOR 16078	10.25642/IPK/GBIS/226524	PGR	spring	4.90477488	71.12237666	3.919528269	101.2780417	5.41148054	1.797741752	1.377580101	1.345548918
HOR 16087	10.25642/IPK/GBIS/259209	PGR	spring	4.845521707	66.84042767	3.926984468	72.93520903	4.535905114	2.747987469	4.717755792	1.358530138
HOR 16112	10.25642/IPK/GBIS/234854	PGR	spring	4.026336417	71.34862675	4.397955464	87.40570658	4.549321502	1.807765838	2.961774616	1.342984828
HOR 16135	10.25642/IPK/GBIS/225944	PGR	spring	2.660645523	76.04175339	1.652942521	91.63098253	3.607289483	1.744737533	2.345039678	1.307571682
HOR 16149	10.25642/IPK/GBIS/261627	PGR	winter	5.203742243	138.1207407	4.005514319	121.3359072	4.948915492	1.50000055	5.047861795	2.236713022
HOR 16174	10.25642/IPK/GBIS/240399	PGR	winter	3.729312197	135.5829359	4.069880307	111.0551308	5.17573623	1.499996069	2.916785295	1.537724038
HOR 16188	10.25642/IPK/GBIS/244276	PGR	winter	5.290949055	137.567537	1.93872088	111.4538046	4.056998575	1.499998765	4.654387945	1.653217027
HOR 1620	10.25642/IPK/GBIS/17764	PGR	spring	3.346839531	72.31816082	4.969980074	112.8696856	3.907498686	1.803353473	2.588567421	1.367352762
HOR 1621	10.25642/IPK/GBIS/17765	PGR	spring	4.220619255	70.9479367	4.649858969	101.5124057	3.958437643	2.081973894	2.125766079	1.345987229
HOR 16247	10.25642/IPK/GBIS/240744	PGR	spring	4.716208531	70.8148652	3.790861055	102.8302531	5.106923718	2.075666731	4.008527949	1.344640469
HOR 1626	10.25642/IPK/GBIS/17770	PGR	spring	4.630099604	70.98241149	4.594024351	90.40487933	5.377003654	2.054579303	4.506492525	1.342365499
HOR 16261	10.25642/IPK/GBIS/235734	PGR	spring	3.426240215	65.64308604	4.990780311	82.66104785	4.568067401	2.373368864	6.476028084	1.274951367
HOR 16263	10.25642/IPK/GBIS/244305	PGR	spring	2.81102902	72.47605013	4.620565627	80.8029244	6.09178368	2.66447927	1.764895617	1.345955249
HOR 16297	10.25642/IPK/GBIS/245662	PGR	spring	3.50149357	73.37557025	4.652114054	112.4304997	4.082630528	2.069462767	3.104401162	1.362108974
HOR 16321	10.25642/IPK/GBIS/245350	PGR	spring	4.348562936	70.78020229	4.321070989	100.8328358	4.438538148	2.425560526	2.906608396	1.3471061
HOR 16334	10.25642/IPK/GBIS/258358	PGR	spring	3.646960045	74.97162863	4.162164063	102.4329582	4.385093768	1.754452871	3.318745079	1.859770775
HOR 16351	10.25642/IPK/GBIS/234645	PGR	spring	2.448063444	70.72763568	4.702770328	108.3203668	3.692774327	2.775761237	2.636440892	1.323171999
HOR 16393	10.25642/IPK/GBIS/235634	PGR	winter	3.05774086	136.8892699	3.063977908	118.2068554	3.981486084	2.999997026	1.93062327	1.793197323
HOR 16569	10.25642/IPK/GBIS/229262	PGR	spring	5.300520045	66.59723738	6.234887724	78.36013371	5.679074842	1.736817444	4.646836048	1.345964928
HOR 1657	10.25642/IPK/GBIS/17800	PGR	winter	3.763917625	136.4341031	6.184711275	106.1752828	6.538963069	1.500002816	4.994512049	4.424179399
HOR 1661	10.25642/IPK/GBIS/17804	PGR	winter	4.206176855	133.8149685	5.238867392	113.0290573	5.048118279	1.499999158	4.761266522	1.810271144
HOR 16652	10.25642/IPK/GBIS/254532	PGR	spring	3.986582557	68.41493803	4.538992816	106.2872517	4.647541678	1.764553736	2.036641273	1.376770695
HOR 16679	10.25642/IPK/GBIS/226026	PGR	winter	7.367902685	137.1670643	2.939160487	121.3036825	5.748510962	1.500005576	4.478468915	1.677442321
HOR 16783	10.25642/IPK/GBIS/224514	PGR	spring	3.893447874	73.15376871	5.463588289	110.8625699	3.846789238	1.400750508	2.673417615	1.345419789
HOR 16909	10.25642/IPK/GBIS/240867	PGR	spring	4.336290184	73.71375899	4.69526536	107.2225892	4.346915323	1.399764683	1.550159709	1.343836725
HOR 16935	10.25642/IPK/GBIS/240712	PGR	spring	4.317294748	67.72264716	3.297521063	86.80831265	5.207567498	1.413564934	4.513120959	1.343884369
